      No     Day     Mon    Year  INConcob0000003  INConcsi0000003
     126       5       5    2012        1.4323138        1.0579016
     127       6       5    2012        0.8468606        0.9147374
     128       7       5    2012        0.9082145        0.8652050
     129       8       5    2012        0.8200817        0.8283245
     130       9       5    2012        0.6140897        0.8062323
     131      10       5    2012        0.6459020        0.7641916
     132      11       5    2012        0.6343125        0.7563129
     133      12       5    2012        0.6918826        0.7386890
     134      13       5    2012        0.4221393        0.7225515
     135      14       5    2012        0.6179605        0.7028462
     136      15       5    2012        0.6859933        0.7236235
     137      16       5    2012        0.7780089        0.7173687
     138      17       5    2012        0.5427380        0.7032601
     139      18       5    2012        0.3594171        0.6813622
     140      19       5    2012        0.4019148        0.6528529
     141      20       5    2012    -9999.0000000        0.6210886
     142      21       5    2012    -9999.0000000        0.5902552
     143      22       5    2012    -9999.0000000        0.5576576
     144      23       5    2012        0.4075540        0.5261081
     145      24       5    2012        0.4140453        0.5024111
     146      25       5    2012        0.3658942        0.4854382
     147      26       5    2012        0.3138670        0.4695108
     148      27       5    2012        0.3572551        0.4562461
     149      28       5    2012        0.4066223        0.4432392
     150      29       5    2012        0.4075519        0.4330720
     151      30       5    2012        0.5466364        0.4273945
     152      31       5    2012        0.6736195        0.9371770
     153       1       6    2012        0.8132975        0.6261914
     154       2       6    2012        0.8859196        0.4671574
     155       3       6    2012        1.4262056        0.6277989
     156       4       6    2012        1.4127260        1.0109493
     157       5       6    2012        0.1249121        0.6586671
     158       6       6    2012        0.3502356        0.5898718
     159       7       6    2012        0.6506509        0.5663205
     160       8       6    2012        0.4907355        0.5433162
     161       9       6    2012        0.6821144        0.5257714
     162      10       6    2012        0.3887289        0.5107827
     163      11       6    2012        0.3426977        0.4984906
     164      12       6    2012        0.6381326        0.4944818
     165      13       6    2012        0.6385012        0.4898374
     166      14       6    2012        0.4366002        0.4839552
     167      15       6    2012        0.4779229        0.4728236
     168      16       6    2012        0.5262432        0.6238801
     169      17       6    2012        0.6042705        0.5107098
     170      18       6    2012        0.5279151        0.4768263
     171      19       6    2012        0.6148539        0.8858097
     172      20       6    2012        0.6326787        1.0353054
     173      21       6    2012        0.9987748        0.7748948
     174      22       6    2012        0.8707160        0.7077920
     175      23       6    2012        0.6731951        0.6764177
     176      24       6    2012        0.5488644        0.6904625
     177      25       6    2012        0.4242511        0.6746816
     178      26       6    2012        0.4124907        0.6556026
     179      27       6    2012        0.2715845        0.6337048
     180      28       6    2012        0.6347993        0.6054787
     181      29       6    2012        0.5340767        0.5755462
     182      30       6    2012        0.4600792        0.5545471
     183       1       7    2012        0.4240950        0.5323801
     184       2       7    2012        0.4091014        0.5257164
     185       3       7    2012        0.4467849        0.5111368
     186       4       7    2012        0.4414972        0.4930226
     187       5       7    2012        0.4396337        0.5711528
     188       6       7    2012        0.4280286        0.5003525
     189       7       7    2012        0.4402171        0.4993743
     190       8       7    2012        0.3564763        0.4834157
     191       9       7    2012        0.3412069        0.4742669
     192      10       7    2012        0.4035856        0.4615843
     193      11       7    2012        0.5122171        0.4589836
     194      12       7    2012        0.5517824        0.4696444
     195      13       7    2012        0.5420193        0.8743494
     196      14       7    2012        0.6313291        0.8762721
     197      15       7    2012        0.6501874        0.6607538
     198      16       7    2012        0.6578304        0.9197100
     199      17       7    2012        0.6487309        0.7952018
     200      18       7    2012        0.6477928        0.7941163
     201      19       7    2012        0.6759984        0.7835523
     202      20       7    2012        0.7028134        0.7549521
     203      21       7    2012        0.6790935        0.7281195
     204      22       7    2012        0.6478266        0.7027242
     205      23       7    2012        0.6369178        0.6746752
