      No     Day     Mon    Year     Qobs_0000003     Qsim_0000003
     126       5       5    2012        0.2300000        0.4356382
     127       6       5    2012        0.4200000        0.3481252
     128       7       5    2012        0.3200000        0.3131545
     129       8       5    2012        0.2800000        0.2956490
     130       9       5    2012        0.2500000        0.2860620
     131      10       5    2012        0.2600000        0.2753233
     132      11       5    2012        0.2500000        0.2787723
     133      12       5    2012        0.2500000        0.2721206
     134      13       5    2012        0.2200000        0.2626877
     135      14       5    2012        0.2200000        0.2534686
     136      15       5    2012        0.2300000        0.2611550
     137      16       5    2012        0.2300000        0.2568655
     138      17       5    2012        0.2200000        0.2490174
     139      18       5    2012        0.2200000        0.2410893
     140      19       5    2012        0.2000000        0.2337724
     141      20       5    2012        0.2000000        0.2271105
     142      21       5    2012        0.1900000        0.2210458
     143      22       5    2012        0.1700000        0.2155147
     144      23       5    2012        0.1700000        0.2104600
     145      24       5    2012        0.1500000        0.2058315
     146      25       5    2012        0.1300000        0.2015850
     147      26       5    2012        0.1300000        0.1976819
     148      27       5    2012        0.1300000        0.1940879
     149      28       5    2012        0.1300000        0.1907728
     150      29       5    2012        0.1200000        0.1877097
     151      30       5    2012        0.1200000        0.1848748
     152      31       5    2012        0.1300000        0.4112666
     153       1       6    2012        0.2200000        0.2734297
     154       2       6    2012        0.1600000        0.2101647
     155       3       6    2012        0.1600000        0.2621183
     156       4       6    2012        0.1900000        0.5143619
     157       5       6    2012        0.4600000        0.3330299
     158       6       6    2012        0.2800000        0.2751161
     159       7       6    2012        0.2300000        0.2564876
     160       8       6    2012        0.1900000        0.2460065
     161       9       6    2012        0.1600000        0.2374943
     162      10       6    2012        0.1400000        0.2299316
     163      11       6    2012        0.1400000        0.2241297
     164      12       6    2012        0.1600000        0.2203695
     165      13       6    2012        0.1700000        0.2155727
     166      14       6    2012        0.1400000        0.2103096
     167      15       6    2012        0.1500000        0.2053095
     168      16       6    2012        0.2100000        0.2599314
     169      17       6    2012        0.2000000        0.2242486
     170      18       6    2012        0.1500000        0.2126650
     171      19       6    2012        0.1400000        0.4447898
     172      20       6    2012        0.7900000        0.5986262
     173      21       6    2012        0.7600000        0.4317481
     174      22       6    2012        0.4400000        0.3699753
     175      23       6    2012        0.3300000        0.3418579
     176      24       6    2012        0.3000000        0.3413346
     177      25       6    2012        0.2900000        0.3286737
     178      26       6    2012        0.2500000        0.3125689
     179      27       6    2012        0.2200000        0.2971784
     180      28       6    2012        0.2100000        0.2833047
     181      29       6    2012        0.2000000        0.2710393
     182      30       6    2012        0.1900000        0.2621656
     183       1       7    2012        0.2200000        0.2527097
     184       2       7    2012        0.2000000        0.2446349
     185       3       7    2012        0.1900000        0.2363956
     186       4       7    2012        0.1700000        0.2287923
     187       5       7    2012        0.1700000        0.2617351
     188       6       7    2012        0.1900000        0.2335020
     189       7       7    2012        0.1700000        0.2305128
     190       8       7    2012        0.1700000        0.2249168
     191       9       7    2012        0.1500000        0.2201306
     192      10       7    2012        0.1400000        0.2145770
     193      11       7    2012        0.1500000        0.2118709
     194      12       7    2012        0.1600000        0.2143681
     195      13       7    2012        0.1900000        0.4281057
     196      14       7    2012        0.7400000        0.4398980
     197      15       7    2012        0.6700000        0.3309452
     198      16       7    2012        0.3800000        0.4862801
     199      17       7    2012        0.4700000        0.4109647
     200      18       7    2012        0.4100000        0.3915205
     201      19       7    2012        0.4100000        0.3740651
     202      20       7    2012        0.3500000        0.3533275
     203      21       7    2012        0.2900000        0.3333852
     204      22       7    2012        0.2600000        0.3154101
     205      23       7    2012        0.2400000        0.2994072
     206      24       7    2012        0.2200000        0.2851556
     207      25       7    2012        0.2000000        0.2724299
     208      26       7    2012        0.1500000        0.2610338
     209      27       7    2012        0.1400000        0.3851228
     210      28       7    2012        0.2100000        0.4308816
     211      29       7    2012        0.5700000        0.3904075
     212      30       7    2012        0.3900000        0.3476798
     213      31       7    2012        0.2600000        0.3235231
     214       1       8    2012        0.2100000        0.3057677
